mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Trim Kapital Plus,SH,-0.0080631581109032,212,9.703923687454948,0.4847445053114024,0.0182048033846644,-0.0102693027399513,0.1262871208819738,0.1433347707054935,9.96553283003563,0.0419130722202475,47.6,48
Bahana Dana Ekuitas Andalan Kelas G,SH,-0.0162565645282399,242,6.162405693613173,0.5131771341978907,0.0168629559763258,-0.0106074893503722,0.1116097022251974,0.1556567486687799,-15.05222628771463,0.0384164653049056,47.4,49
Schroder 90 Plus Equity Fund,SH,-0.0311511553650793,189,4.173590774116121,0.4009954173023953,0.0263367498918088,-0.0156854965781873,0.148701307826578,0.1294426022324899,-8.072379122886451,0.0372455341134055,47.1,50
BRI Mawar Ekuitas Utama,SH,-0.0389049429824283,98,2.277555513297028,0.5609327657825636,0.0499359213074913,0.0138284628163848,0.1192383563359998,0.0653341568405141,-6.104762716407638,0.0416716278951107,46.9,51
Panin Dana Ultima,SH,-0.0632700318422863,139,4.144083432747902,0.2760763510953907,0.0224522840599556,-0.0106622425440664,0.1005381195438002,0.0886319012625613,-4.932168335892666,0.0404867804620243,46.3,52
Prospera BUMN Growth Fund,SH,-0.0634933702171652,128,6.015705046956564,0.5013053371827554,0.0327731264972625,-0.01913937949484,0.1417207326118068,0.1277793805540408,-0.1045104359961417,0.0445410493325476,46.3,53
BNI - AM Dana Saham Inspiring Equity Fund,SH,-0.0668002646707036,141,6.786147686106911,0.5593965621878016,0.0384790190472511,0.0088187354804048,0.1345887848959999,0.124096351450339,-7.047432559533236,0.0423184160461747,46.2,54
Eastspring Investments Alpha Navigator Kelas A,SH,-0.0774078996756391,160,4.307668746356428,0.4196396828064867,0.0179098628495595,-0.0113947686405948,0.1189180067026052,0.0884638154250374,-4.16784077546578,0.038403057948926,45.9,55
Sucorinvest Equity Fund Kelas A,SH,-0.0818636241664597,164,4.925004358590909,0.2893407304513771,0.0252557623734545,-0.013300803080906,0.0734793288716124,0.0710783653435542,-12.0585245582759,0.0386087042831202,45.8,56
Panin Dana Infrastruktur Bertumbuh,SH,-0.0889663683354721,117,5.587225274362684,0.4630608481520015,0.0278612684631787,-0.0141792424501802,0.0987745571888243,0.1331300509825979,0.5685534447809337,0.0476603813768553,45.7,57
Eastspring Investments Value Discovery Kelas A,SH,-0.1116358307419931,151,4.759065800163759,0.4746868177544477,0.0139054361399553,-0.009160397200315,0.1144964068285859,0.1060886554093265,-6.333053054430369,0.040041634642542,45.1,58
BRI Mawar Ekuitas Plus,SH,-0.1386745383958683,128,4.555111026594057,0.5609327657825636,0.0499845915670744,0.0143667376464136,0.1178638167399999,0.0621055121445279,-7.217216725623815,0.041789534935899,44.5,59
Bahana Primavera 99 Kelas S,SH,-0.1520567569802516,136,4.438492450319188,0.5493965524586681,0.0308340950057314,-0.0198791028043645,0.1168553009832862,0.1035201999728181,-2.072448706660504,0.0416433764145031,44.1,60
Majoris Saham Alokasi Dinamik Indonesia,SH,-0.1568665195362902,121,5.885848226475728,0.4903028612757297,0.0315100296827349,-0.0178867133393525,0.1044250973567535,0.1288024258044436,-0.1434569865664075,0.0427630404726543,44.0,61
Batavia Dana Saham Optimal,SH,-0.1668514019998405,232,4.987113019170821,0.3984495662184145,0.0368602713554533,-0.0222999070841645,0.121952207904003,0.1111309313090225,-8.183525266910092,0.0373345181280005,43.8,62
UOBAM Sustainable Equity Indonesia D,SH,-0.1814751588289422,45,5.496150350887189,0.4541634037511838,0.0158111219759402,0.0087884144317497,0.0310505424474161,0.0568515004708574,-6.269698580900588,0.0428656298378923,43.4,63
Allianz Indo Asia Equity Fund Kelas A,SH,-0.1884897037056916,107,6.160009852980168,0.5129877919677966,0.0272531131699472,-0.0165179537010184,0.1089541826815947,0.1126921786994479,-1.263132255259373,0.0398676071475705,43.2,64
Simas Saham Unggulan,SH,-0.2052642565262721,157,6.13843905493686,0.3483685405684713,0.0376329614011518,0.0223524068809554,-0.0161413936220861,0.0102307832062016,-9.412704121260404,0.0401539581210829,42.8,65
KISI Equity Fund,SH,-0.2088044595065131,72,6.106899500007154,0.5087523546119458,0.0250620608525379,-0.0137407344326727,0.1016698565617897,0.1075207060102179,-4.593088836346237,0.0392638065259084,42.7,66
Ashmore Dana Ekuitas Nusantara,SH,-0.2149880112776108,155,6.863870131381479,0.5629287934391329,0.0422333575235097,0.0122765768322667,0.0866901056339999,0.0717600819741735,-10.65765782641117,0.0396822630403055,42.6,67
SAM Dana Cerdas,SH,-0.2274429732509116,129,3.371814189554612,0.4068475047659186,0.0480518611995465,0.0030795288269621,0.039466546456,0.0558336130124303,-7.573284360863788,0.0481614733565431,42.3,68
Ashmore Digital Equity Sustainable Fund,SH,-0.2418130412033091,49,4.896210984034355,0.3872813059358657,0.0035797249900321,0.002751836784377,-0.0020486600226091,0.0224495145537999,-5.989591795453362,0.042771629313624,41.9,69
Mandiri Investa Atraktif Kelas A,SH,-0.24443800279898,248,4.609867405385192,0.5661480419884476,0.0089639566046617,-0.0055144358231848,0.0867945471575575,0.0603102566211062,-21.4784216017168,0.0391509511931722,41.9,70
Bahana Primavera Plus,SH,-0.2646516219115636,356,3.884072325749086,0.2276147948863395,0.0053427945069257,-0.0043932830525269,0.0886617202253929,0.1366710774261026,-91.14702759104094,0.0416917178155173,41.4,71
BNP Paribas Maxi Saham,SH,-0.2693638212944742,192,5.100459192415009,0.5098480537364561,0.0293905714616516,-0.0169558883203357,0.0923025921251734,0.0739342211451281,-6.601506740997499,0.0369423100662177,41.3,72
Allianz Alpha Sector Rotation Kelas A,SH,-0.2701561572836997,185,6.699382650955204,0.5521975447137272,0.0305989498699106,-0.0184472248177921,0.1260811056319091,0.1307790601541767,-5.06176859577936,0.0423996292585899,41.2,73
Mandiri Investa Cerdas Bangsa Kelas A,SH,-0.2711428556907094,211,4.466490605014426,0.5522211559664658,0.0144982316118268,-0.0085303484398816,0.0824009407358421,0.0405453246556815,-12.95060767946248,0.0388868991465624,41.2,74
Panin Dana Teladan,SH,-0.2811080274287099,128,4.845440163099963,0.3808612016620813,0.0245076263711645,-0.0149147035749424,0.0600163358927661,0.0603770422826754,-10.83738792335621,0.0398825716595329,41.0,75
Mandiri Investa Equity Movement,SH,-0.2936581806928967,159,6.824626905401588,0.5604155301697817,0.008713341846926,-0.0053472340784204,0.085851075284876,0.0593945764876617,-8.718542294252542,0.0394205468340362,40.7,76
BRI Mawar Komoditas 10,SH,-0.3085868959700839,179,6.506534835635406,0.5389250844290562,0.0241548627929009,-0.0143971300673039,0.1200073277304909,0.0787155335047404,-3.935526522707858,0.0407583920684605,40.3,77
Panin Dana Prima,SH,-0.3157531511002506,217,5.104903093222798,0.412329686731417,0.0243887315533405,-0.0147147633380499,0.0603158357828361,0.0528180866365779,-18.56239248282516,0.0388399366734399,40.1,78
Trim Kapital,SH,-0.3263037112338085,348,10.06024534201851,0.5029942282703028,0.0086287493120868,-0.0045634862793454,0.0920160942150101,0.108506664456915,-37.05888113993235,0.0362875694690431,39.9,79
Insight Wealth (I-Wealth),SH,-0.3344976560595169,134,5.287585110399547,0.5271943717590407,0.0367090467844089,-0.0217395467356748,0.1098444808505366,0.0750870177109139,-5.649069893308779,0.0410376328211592,39.7,80
Mandiri Investa Equity ASEAN 5 Plus,SH,-0.3391786599235474,145,6.917108196689555,0.5662927462323397,0.0078096857433736,-0.0046266621733746,0.0800908846859946,0.0480770057227653,-9.192255116897924,0.038650764954534,39.5,81
Avrist Ada Saham Blue Safir Kelas A,SH,-0.3506890262943332,104,5.215971773503587,0.4248435132951477,0.0122375083976401,-0.006673555540353,0.0587050714739707,0.0618256755461303,-8.25972528107954,0.0462129842208102,39.3,82
BNP Paribas Infrastruktur Plus,SH,-0.3642369305495466,227,5.64770514504912,0.557342330062761,0.0322474959181183,-0.0182814638946537,0.0863648885248233,0.0626548822081167,-10.05228843422654,0.0374659211272523,38.9,83
BRI Mawar Konsumer 10 Kelas A,SH,-0.3753946195116458,179,6.281090964347042,0.5223759666865662,0.0076162542378743,-0.0046383715889253,0.0708276655558355,0.0275067258400958,-10.52988676840704,0.0388561896720274,38.7,84
Bahana Primavera 99 Kelas A,SH,-0.3951260892141155,68,8.876984900638377,0.5493965524586681,0.0300655286843143,-0.0193952326401465,0.1117463852860552,0.0935022954752873,-4.249982347955402,0.0415732204044863,38.2,85
Sequis Equity Maxima,SH,-0.4129443715229023,112,5.924286516834255,0.4936099070368558,0.0198962584730263,-0.0127229179293412,0.0738369927042892,0.0166857075605952,-6.019235120043774,0.0374828461318249,37.7,86
Sequis Equity Indonesia,SH,-0.4437843048459908,112,5.640890585880887,0.4681690853020655,0.0359062495853853,-0.0214232983607253,0.0969517093543681,0.0376458787727536,-5.432374025984772,0.0401649262625118,37.0,87
