mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
Bahana Pendapatan Tetap Makara Prima Kelas I,PT,38,2.06327808544364,0.03066871397029061,0.002022687505714235,-0.001573371267035445,0.02734577296271778,0.06008303795367587,2.899361198087404,0.005544541863722504
Sequis Pendapatan Stabil,PT,114,2.537949489543144,0.01495281513659096,0.007470145234100772,-0.005003556588281466,0.03949580467834757,0.06971656426257766,1.56854944476679,0.00899138543467694
Schroder Prestasi Gebyar Indonesia II,PT,213,1.155279905311722,0.1344089035027609,0.0082237004037484,-0.005353215608940436,0.0359875678940671,0.07202172901118131,4.302054730744213,0.00945296561025012
PNM Dana Bertumbuh,PT,150,3.194904311903575,0.06100474157470089,0.02331936131458653,-0.0331574076246782,0.05553354337999994,0.08913066081341903,1.094762948702655,0.009981490132414702
SAM Sukuk Syariah Sejahtera,PT,191,1.843035050761763,0.02335009892729725,0.03055480729468302,-0.06925150741234189,0.05096302513999995,0.08930267592265384,4.973849885712629,0.007241274990777763
Manulife Obligasi Negara Indonesia II Kelas A,PT,204,2.515118024854707,0.006010861003463477,0.008282057557304595,-0.005508385487760259,0.03425231805999984,0.06824757161298911,2.338715472015107,0.01232478066217143
STAR Fixed Income 3,PT,38,2.107443235698754,0.05098274244294407,0.005397847317362763,-0.003285923207693169,0.03335852145770657,0.06442030960094036,2.09037800137928,0.003777579779813676
Mandiri Investa Dana Syariah Kelas A,PT,204,2.582916395569691,0.03210185033937296,0.005539192901810527,-0.003519597142673837,0.03105789405002035,0.06270622373611223,1.952923991698572,0.004555045323768723
Eastspring Syariah Fixed Income Amanah Kelas A,PT,104,2.055303009755018,0.02690747276315708,0.007434365043205877,-0.004921682202640106,0.03789736592680604,0.06810897201742194,0.4668776387304451,0.00595569016451614
Bahana Premier Fixed Income Fund,PT,65,4.379934562529528,0.08674434677172575,0.00920984954474305,-0.005837911110070414,0.03915015622333673,0.07859349241197688,3.165743351704067,0.01036842898521413
STAR Stable Income Fund Kelas Utama,PT,116,2.482052184822931,-0.007231038608621899,0.002963105006811476,-0.001842896287075421,0.02317973618612323,0.04919523566381301,3.652544934676205,0.001449053415164534
HPAM Ultima Obligasi Plus,PT,114,1.623894390395137,0.07629461073819582,0.0240957913058633,-0.02857514759095931,0.03478947703999991,0.0683552472037201,4.12426902182672,0.005902862900980996
BNP Paribas Prima II Kelas IK1,PT,60,1.375051394883205,0.09094306972709668,0.00789728716569994,-0.005051167157907901,0.0350291516196084,0.06750768653179562,1.434754197029977,0.009472434235340837
Mandiri Obligasi Optima 2,PT,116,2.034175973581621,0.01680089334721949,0.005693788516835371,-0.002725304558485319,0.02790222623557215,0.06141889275133816,1.206207653880067,0.009748095251633554
PNM Kaffah,PT,84,1.025324326580551,0.02469884496450692,0.01113876963716726,-0.006282843287067383,0.05847820582400032,0.08300328597005335,-2.806451043685352,0.01222123945146967
HPAM Pendapatan Tetap Prima,PT,84,0.9910741322171667,-0.009006256437008375,0.02901801071396892,-0.07036483481727991,0.03618849199999974,0.07485882506619901,3.539441342519462,0.004211044046823272
Bahana Pendapatan Tetap Makara Prima Kelas G,PT,256,2.06327808544364,0.03066871397029061,0.001503670912832437,-0.001215651336875511,0.02372695574927719,0.05212602681187684,2.880657125299905,0.005578863163123572
BRI Melati Pendapatan Utama,PT,159,2.114001198715664,0.05392674270238081,0.006633103481257914,-0.004772700920025556,0.03147281584006389,0.06686310980814292,1.384578945048673,0.01065749842215583
PNM Dana Optima Kelas A,PT,65,3.158141467382405,0.05007421897204588,0.007685738082899505,-0.004926651758165485,0.04314956523375502,0.06935238384764464,1.258603928202043,0.008190741185282667
BRI Melati Pendapatan Utama II,PT,128,3.232538165346507,0.07193671147934638,0.1174289888760579,-0.03867909074018524,0.0553963523840002,0.09254981794273731,2.189687786877861,0.01111511979710378
Sam Dana Pendapatan Tetap,PT,102,1.996510211420242,-0.001747944267850871,0.005895305488718777,-0.003549216610940077,0.02891870645666894,0.05193717168341738,1.112229427063271,0.007374714047240843
ITB Harmoni BNI-AM,PT,98,1.575301985615318,0.04780161918345135,0.005488395733016611,-0.00365155302186242,0.02567677833652149,0.0582995507561046,1.75863670988923,0.008676775732214292
Mandiri Investa Dana Obligasi Seri II Kelas A,PT,256,3.314215835367769,0.09480850100787167,0.01113891093684987,-0.007290694625590408,0.04146568865588351,0.07464324080653473,1.477151865399531,0.0112455316014851
BNP Paribas Prima II Kelas RK1,PT,222,2.200082231813128,0.09094306972709668,0.007700064944662488,-0.004928299627105425,0.03371982856956102,0.0647343186645224,2.401309089527262,0.009459871817313384
Victoria Obligasi Negara Syariah,PT,96,2.077185733092434,0.03715880186483062,0.008325366028588764,-0.005249748471256847,0.03475061947767899,0.05648860125033495,1.380557517173616,0.005854854377975731
Bahana Pendapatan Tetap Syariah Generasi Gemilang,PT,106,4.027935606377183,0.006935464989299869,0.001825219592193953,-0.001235018863398695,0.02308037716855349,0.05160711118813532,1.729271138935,0.006697539293864361
Panin Dana Utama Plus 2,PT,221,2.143001066476466,0.0667293491886071,0.005737077228819412,-0.003790079706994525,0.02864177242012,0.0629666447128936,2.169830439384252,0.00937461020713471
Majoris Obligasi Utama Indonesia,PT,121,1.97727202981245,-0.0114946096666862,0.001703678593455097,-0.001431141462107515,0.01782588788537565,0.05228698908433826,0.3068505763310036,0.01037699642245228
UOBAM Inovasi Obligasi Nasional,PT,53,2.948939610690766,-0.01731483043061493,0.004737701043679915,-0.003335851434083737,0.0371420226550605,0.06242346822151235,-0.07432128062386338,0.01341482332308862
PNM Surat Berharga Syariah Negara,PT,58,3.094629804251485,0.03057871546427951,0.005802348098514772,-0.003846644473569485,0.04017006221543662,0.06281814364614591,0.9473811815208415,0.0051301987269284
Danamas Pasti,PT,274,3.962322435221786,-0.009508959806827349,0.002271197364252413,-0.001428491620010439,0.02201901339142998,0.04649277085614023,3.747824256453947,0.00176885597926932
BRI Pendapatan Prima Plus,PT,187,1.602156466966489,0.06376185414643755,0.01844992677828052,-0.04827671388278947,0.03976880713999997,0.0783912087607288,2.29874971714552,0.01221318745841742
Danamas Stabil,PT,252,3.962453416391032,-0.009475589909436791,0.003632826980649211,-0.002230976097841659,0.02749264261907669,0.04506178258252036,3.876841545230093,0.001565940030830916
