mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_raw,score_0_100
Sucorinvest Saham Dinamis,SH,122,3.814691061442931,-0.04857770539535509,0.03260116573068374,0.002561582734613414,0.07210016504000016,0.1331750472219579,-1.715407603924187,0.0349911284674926,0.5697956571418578,61.77696584192825
Principal Islamic Equity Growth Syariah,SH,222,2.241154758877822,0.1076029033347843,0.002180418309810099,-0.0004514302157862266,0.07720613953657862,0.1862138727076701,-1.60066125283874,0.0361880944439703,0.5647412396814837,61.65335878330891
Trim Syariah Saham,SH,229,5.134374542251359,0.026171550428504,0.01876711868530311,0.01251376831579765,0.09213282982372473,0.215218629782262,-1.697073716919928,0.05256050805716948,0.5153358388606829,60.44513719828048
Sucorinvest Sustainability Equity Fund,SH,49,5.036402619231646,0.3050595306588177,0.02887816218799557,-0.01710953153208242,0.2032767569319465,0.2145311371493599,9.139806339349034,0.04532280475938292,0.4938859175536157,59.92057394224373
Sucorinvest Sharia Equity Fund,SH,146,3.456554499417228,-0.01256901940649178,0.01148393202563068,-0.004219336102492705,0.1728969009987129,0.145595286543295,-13.6007937932078,0.03200955612918276,0.4693370828899546,59.3202259755202
SAM Dana Saham Nusantara Kelas S,SH,37,3.689496213697561,0.457920571221937,0.005563584851493194,0.002297914907019816,0.2070689114343611,0.2123674378579115,-0.7424657682187052,0.05175885725358342,0.3891195432828776,57.3584857357702
Mandiri Investa Atraktif Syariah,SH,216,3.694441775223418,0.1879693381231924,0.009658551961913992,0.006253122317330596,0.1006032434743103,0.1453204043429117,-4.323462621192331,0.03799980564940902,0.3711540410451037,56.91913483022272
HPAM Ultima Ekuitas 1,SH,194,6.636051566437776,0.2465399115811883,0.005867261521014168,-0.000157566164772633,0.02024206202737977,0.2137079800461388,13.15964207295258,0.05168028715290144,0.3661087617365447,56.79575124741953
Mandiri Investa Ekuitas Dinamis,SH,178,3.021764624308184,0.007202620658505771,0.003993008691867857,0.00328752696788662,0.06670142610533203,0.1104803582507849,-4.50111719417564,0.03942344077478545,0.3576742856072638,56.58948399832329
Manulife Syariah Sektoral Amanah Kelas A,SH,204,3.099683232558521,0.1934659729934836,0.008446298109869712,-0.003183114810671228,0.1250438318971188,0.147786796944366,-14.36894456807599,0.03614217850931521,0.3504052679700803,56.41171833171017
Syailendra Equity Opportunity Fund Kelas A,SH,224,8.85282430159726,0.4352084905719996,0.004351191327032647,-0.00165306519890813,0.1960079112308319,0.20132270461343,8.826021610742481,0.04341715256293319,0.3500110979483519,56.40207880403686
Manulife Saham Andalan,SH,219,3.826123928799832,0.3465972230585346,0.02553344320805867,-0.01514673815917107,0.1878706614329575,0.2680750994693344,-13.1132691978034,0.04404321875247733,0.3052134046000138,55.30653987177993
BRI Mawar Fokus 10,SH,191,3.164479748218999,0.0519768686500742,0.005978206139184217,-0.0003722142625531927,0.08493539105791559,0.1109635208408741,-9.478642880802877,0.04438022255131184,0.260231971204263,54.20650753014608
BNP Paribas Pesona Syariah,SH,225,2.551074915164933,0.2160167511698906,0.02299115432082985,-0.01213852324595406,0.1029089481437855,0.1295800159015654,-4.038530922408166,0.0331920295433818,0.2503020214932238,53.96366809599916
BMI Indo Saham Andalan,SH,55,5.011952840292053,0.4014309201231059,0.00769755516532831,-0.004358293904683263,0.07234985674234529,0.1785483696073737,1.05075957869111,0.03996537909704641,0.2273997981208778,53.40358842527701
Manulife Dana Saham Utama Kelas I,SH,121,6.984318992180271,0.4272884722936554,0.04937100817107544,0.01054213615597185,0.1869139068800001,0.1996465517786103,-9.8647295638156,0.04260607183422167,0.2222278268751491,53.27710655907575
Manulife Institutional Equity Fund Kelas I,SH,174,2.438027772028243,0.3847485999914919,0.01863375776180796,-0.01166219997832678,0.162499101462227,0.1672194917393746,-13.40622724464702,0.04238260343951408,0.196651946782035,52.65164193635805
Manulife Saham SMC Plus,SH,154,2.962758192314253,-0.01256997880635554,0.01680333733053566,-0.005117159485739941,0.05644904649674287,0.07781295720083614,-5.017899357284966,0.04217726821596097,0.1921623116119236,52.5418467716329
PNM Saham Unggulan,SH,118,5.87120770316692,0.4890318735646493,0.01140118851830971,-0.005281887576356381,0.1049872767280269,0.2249813427431577,-2.628223009696098,0.04344011570466774,0.162144678003976,51.80775794219208
